id,N,time_steps,train_time,model,Ts,Tt,vi_reward,rl_reward,vi_ns,rl_ns,vi_distance,rl_distance,distribution
49,300,300000,0 days 00:10:41.577697000,ACER,1,750,-400.3475,-523.56885,14.647,149.5911,155.1256,149.5911,truncnorm
50,300,300000,0 days 00:10:45.186926000,ACER,1,500,-271.6968999999993,-281.4615666666661,12.7164,16.7189,158.8444,160.8445,truncnorm
51,300,300000,0 days 00:10:42.513031000,ACER,1,400,-220.41259999999912,-229.0218666666669,11.367,25.3328,156.7842,156.7257,truncnorm
52,300,300000,0 days 00:10:46.864364000,ACER,1,300,-169.4937,-206.6234,10.715,37.0515,161.2926,170.5711,truncnorm
53,300,300000,0 days 00:10:45.548126000,ACER,1,200,-118.09903333333288,-119.4814333333332,9.0431,12.7421,163.5839,161.109,truncnorm
54,300,300000,0 days 00:10:53.928091000,ACER,1,100,-65.19483333333365,-61.365933333333366,7.6329,6.5138,174.3651,164.5564,truncnorm
55,300,300000,0 days 00:10:58.236517000,ACER,1,50,-37.604800000000246,-36.33968333333323,6.5677,8.1243,186.899,171.176,truncnorm
56,300,300000,0 days 00:11:28.219906000,ACER,1,1,-7.098010666666548,-6.1627393333333025,5.949,5.4898,344.7032,201.8818,truncnorm
57,300,300000,0 days 00:10:42.087595000,ACER,1,1000,-527.1587999999985,-558.773999999999,16.2848,57.673,155.1676,162.2999,truncnorm
58,300,300000,0 days 00:10:41.481803000,ACER,1,750,-399.2745,-404.62585,14.4775,21.3416,154.762,157.2322,truncnorm
59,300,300000,0 days 00:10:40.691101000,ACER,1,500,-273.634899999999,-398.0896,12.9454,149.2836,159.8974,149.2836,truncnorm
60,300,300000,0 days 00:10:44.121484000,ACER,1,400,-221.12873333333204,-238.89900000000247,11.4458,37.7286,157.2622,158.77700000000002,truncnorm
61,300,300000,0 days 00:10:44.277520000,ACER,1,300,-169.0743,-184.9425,10.6296,30.2118,160.9492,155.5477,truncnorm
62,300,300000,0 days 00:10:55.350937000,ACER,1,200,-118.32739999999987,-125.70936666666674,9.1678,17.3395,163.7394,163.5548,truncnorm
63,300,300000,0 days 00:10:50.506415000,ACER,1,100,-65.32426666666645,-68.09580000000031,7.6638,13.7261,174.6631,166.9961,truncnorm
64,300,300000,0 days 00:10:56.467196000,ACER,1,50,-37.789283333333785,-35.048966666666914,6.5505,8.2974,188.1044,160.5094,truncnorm
65,300,300000,0 days 00:11:01.054607000,ACER,1,1,-7.110715666666543,-6.0794946666666565,5.9562,5.3815,346.3547,209.3984,truncnorm
66,300,300000,0 days 00:10:46.240453000,ACER,1,1000,-527.4253999999992,-540.7999000000088,16.3034,38.6379,155.2383,157.5692,truncnorm
67,300,300000,0 days 00:10:44.407647000,ACER,1,750,-401.0,-457.07545,14.668,82.9527,155.387,172.0801,truncnorm
68,300,300000,0 days 00:10:45.440302000,ACER,1,500,-271.02459999999934,-276.4859666666669,12.6471,21.2978,158.4907,157.0293,truncnorm
69,300,300000,0 days 00:10:54.509795000,ACER,1,400,-220.7438333333316,-224.25660000000087,11.4749,15.0802,156.9517,158.7511,truncnorm
70,300,300000,0 days 00:10:50.281117000,ACER,1,300,-169.3455,-172.9621,10.6941,17.993,161.1621,157.851,truncnorm
71,300,300000,0 days 00:10:52.489753000,ACER,1,200,-118.342633333333,-124.23246666666715,9.0865,19.799,163.8842,157.6502,truncnorm
72,300,300000,0 days 00:10:54.613428000,ACER,1,100,-64.99913333333343,-64.4144000000002,7.5611,10.4686,173.9808,162.8374,truncnorm
73,300,300000,0 days 00:10:54.162028000,ACER,1,50,-37.64196666666688,-36.19565,6.5503,8.725,187.2195,166.4539,truncnorm
74,300,300000,0 days 00:11:33.534843000,ACER,1,1,-7.08591099999988,-5.92394000000001,5.9375,5.2604,344.5233,199.062,truncnorm
75,300,300000,0 days 00:10:50.006246000,ACER,1,1000,-526.0023666666658,-649.6099999999998,16.1577,149.91,154.8529,149.91,truncnorm
76,300,300000,0 days 00:10:37.338989000,ACER,1,750,-400.58265,-409.07495,14.5589,23.3097,155.2562,158.1584,truncnorm
77,300,300000,0 days 00:10:47.343938000,ACER,1,500,-271.7115666666663,-298.65503333333214,12.7159,23.4857,158.8609,166.0075,truncnorm
78,300,300000,0 days 00:10:39.895191000,ACER,1,400,-220.9905333333326,-230.4990333333337,11.5,27.3281,157.1179,157.3394,truncnorm
79,300,300000,0 days 00:10:39.371311000,ACER,1,300,-170.0897,-168.8724,10.7777,11.470999999999998,161.8292,159.391,truncnorm
80,300,300000,0 days 00:10:40.320475000,ACER,1,200,-118.37713333333302,-127.28649999999978,9.0646,18.8791,163.9688,162.6111,truncnorm
81,300,300000,0 days 00:10:48.493379000,ACER,1,100,-65.27293333333347,-64.64969999999985,7.5992,9.139,174.6931,168.5302,truncnorm
82,300,300000,0 days 00:10:50.914411000,ACER,1,50,-37.76645000000014,-34.940249999999736,6.5872,7.028,187.7406,167.4735,truncnorm
